,continent,date,Cancel public events,Close public transport,Contact tracing,Containment and Health Index,Debt/contract relief,Emergency investment in health care,Fiscal measures,Income support,International support,International travel controls,Investment in Vaccines,Public information campaigns,Restrictions on gatherings,Restrictions on internal movement,School closures,Stay at home requirements,Stringency Index,Testing policy,Workplace Closures,active_cases,aged_65_older,aged_70_older,cardiovasc_death_rate,case_fatality_ratio,deaths_per_100k,diabetes_prevalence,extreme_poverty,female_smokers,gdp_per_capita,gm_Grocery & Pharmacy,gm_Parks,gm_Residential,gm_Retail & Recreation,gm_Transit Stations,gm_Workplaces,handwashing_facilities,herd_immunity_threshold,hospital_beds_per_thousand,human_development_index,infected_per_100k,latitude,life_expectancy,longitude,male_smokers,median_age,mortality_rate,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_recovered,new_recovered_smoothed,new_tests,new_tests_smoothed,percent_increase_cases,percent_pop_affected,population,population_density,positive_rate,recovered_percent,stringency_index,tests_per_case,total_cases,total_deaths,total_recovered,total_tests
349,Asia,2020-03-20,70.0,26.0,58.0,2369.7,14.0,52356020.0,19647120440.0,2.0,961786.0,121.0,0.0,72.0,88.0,38.0,108.0,34.0,2377.7799999999997,53.0,59.0,30132.0,260.304,167.71200000000002,11148.688,0.4688862708453171,2.164177778276252,383.55000000000007,78.50000000000001,155.09999999999997,953220.8659999999,-107.287,-442.43000000000006,269.71400000000006,-711.4309999999999,-742.43,-456.0040000000001,1429.175,3001615432.7799993,109.63,29.168000000000006,131.95524035049806,1051.97101255,3006.7200000000003,3022.756701472915,1314.8000000000002,1250.4999999999998,46.8886270845317,2424.0,1969.7150000000001,187.0,146.857,1856.0,1751.2857142857142,28001.0,30873.0,inf,0.13195524035049805,4480023034.0,19265.761,0.5790000000000001,598.0650039128582,2377.7799999999997,1704.029,115275.0,4738.0,80358.0,497907.0
350,Asia,2020-03-21,71.0,28.0,58.0,2422.7099999999996,15.0,0.0,51989705.9,2.0,0.0,122.0,0.0,72.0,92.0,39.0,108.0,37.0,2442.5799999999995,53.0,63.0,30841.0,260.304,167.71200000000002,11148.688,0.49969108990804,2.3885851108571803,383.55000000000007,78.50000000000001,155.09999999999997,953220.8659999999,-196.143,-510.855,305.714,-825.5730000000001,-853.14,-554.2860000000001,1429.175,3001615432.7799993,109.63,29.168000000000006,140.66098430969072,1051.97101255,3006.7200000000003,3022.756701472915,1314.8000000000002,1250.4999999999998,49.96910899080401,2549.0,2078.7129999999993,177.0,155.574,1662.0,1775.4285714285709,40204.0,32389.0,inf,0.14066098430969073,4480023034.0,19265.761,0.6160000000000001,604.1757546437674,2442.5799999999995,1788.0829999999999,117824.0,4915.0,82020.0,648954.0
351,Asia,2020-03-22,72.0,29.0,60.0,2554.9099999999994,15.0,0.0,0.0,2.0,2500000.0,129.0,0.0,73.0,101.0,44.0,108.0,43.0,2585.6499999999996,55.0,68.0,31372.0,263.86,169.609,11484.034,0.5905502489409811,2.632812916713906,390.4100000000001,108.80000000000001,161.39999999999998,959790.9679999999,-317.575,-610.1399999999999,345.287,-956.5699999999998,-982.9979999999999,-657.001,1457.353,3002498788.919999,115.53,29.793000000000006,152.9346902407089,1043.09681255,3076.2200000000003,3148.484201472915,1392.9,1268.4999999999998,59.0550248940981,2985.0,2250.8549999999996,174.0,164.573,2276.0,1667.8571428571427,23897.0,33384.0,inf,0.15293469024070896,4481341476.0,19352.936999999998,0.7600000000000001,610.2795307722503,2585.6499999999996,1597.894,120809.0,5089.0,84296.0,533384.0
352,Asia,2020-03-23,76.0,38.0,60.0,2754.5200000000004,15.0,5000000.0,534736.0,2.0,5000000.0,137.0,0.0,78.0,114.0,47.0,116.0,50.0,2822.25,57.0,76.0,33425.0,269.59200000000004,175.306,12062.402,0.6480968035538452,2.909352738644513,395.0200000000001,115.20000000000002,167.7,965382.565,-417.28700000000003,-700.2850000000002,392.28700000000003,-1082.4279999999999,-1113.0000000000002,-753.7100000000002,1607.238,3050678791.089999,117.93,30.907000000000007,163.2010649080128,1099.81511255,3216.05,3283.4370014729147,1428.1000000000004,1319.3,64.80968035538451,2712.0,2359.286,187.0,172.00300000000001,465.0,1509.1428571428569,45233.0,35667.0,inf,0.1632010649080128,4553251927.0,19434.658,1.072,577.6215059429703,2822.25,1764.613,123521.0,5276.0,84761.0,713913.0
353,Asia,2020-03-24,76.0,41.0,63.0,2812.100000000001,17.0,0.0,88231147639.0,2.0,40000000.0,139.0,0.0,78.0,114.0,51.0,117.0,50.0,2875.9500000000003,57.0,79.0,34195.0,269.59200000000004,175.306,12062.402,0.6508572563429905,3.1187339010544846,395.0200000000001,115.20000000000002,167.7,965382.565,-517.285,-777.8589999999999,433.429,-1197.5689999999997,-1223.8549999999998,-849.7159999999999,1607.238,3050678791.089999,117.93,30.907000000000007,176.02266591746883,1099.81511255,3216.05,3283.4370014729147,1428.1000000000004,1319.3,65.08572563429907,3251.0,2565.4300000000003,172.0,175.145,2309.0,1552.428571428571,42089.0,37632.0,inf,0.17602266591746887,4553251927.0,19434.658,1.0279999999999998,609.1774462105311,2875.9500000000003,1533.042,126772.0,5448.0,87070.0,754471.0
354,Asia,2020-03-25,77.0,43.0,63.0,2893.9300000000003,17.0,6000000.0,595000000.0,2.0,0.0,144.0,0.0,78.0,115.0,54.0,120.0,53.0,2972.2599999999998,58.0,84.0,36521.0,273.62100000000004,177.62800000000001,12430.512999999999,0.639634256184083,3.387916312638211,399.0200000000001,137.9,175.00000000000003,971779.9249999999,-613.8550000000001,-844.2860000000001,476.143,-1315.0,-1344.716,-943.0019999999998,1657.077,3055553413.609999,119.43,31.508000000000006,197.14705300112118,1119.67138255,3283.9700000000003,3385.932497472915,1479.3000000000004,1343.6999999999998,63.963425618408294,4086.0,2871.284,159.0,174.717,1600.0,1617.2857142857144,49181.0,42721.0,inf,0.19714705300112118,4560527483.0,19464.373,1.1380000000000001,619.5191695103312,2972.2599999999998,1392.8470000000002,130858.0,5607.0,88670.0,776421.0
355,Asia,2020-03-26,77.0,44.0,63.0,2946.2200000000003,18.0,26007802.0,59780167376.07,2.0,0.0,146.0,0.0,80.0,117.0,56.0,120.0,54.0,3032.44,59.0,87.0,39100.0,273.62100000000004,177.62800000000001,12430.512999999999,0.6546313304895877,3.6460616671576003,399.0200000000001,137.9,175.00000000000003,971779.9249999999,-694.57,-900.2869999999998,510.5720000000001,-1405.716,-1436.7129999999995,-1026.429,1657.077,3055553413.609999,119.43,31.508000000000006,213.413200871391,1119.67138255,3283.9700000000003,3385.932497472915,1479.3000000000004,1343.6999999999998,65.46313304895877,4617.0,3231.4289999999996,193.0,178.431,1843.0,1715.8571428571431,36384.0,44773.0,inf,0.21341320087139118,4560527483.0,19464.373,1.1329999999999998,650.2071018131204,3032.44,1261.222,135475.0,5800.0,90513.0,707374.0
356,Asia,2020-03-27,79.0,45.0,63.0,3008.33,18.0,426403089.0,411637687080.0,2.0,0.0,147.0,0.0,80.0,124.0,58.0,120.0,56.0,3108.3699999999994,59.0,90.0,42375.0,273.62100000000004,177.62800000000001,12430.512999999999,0.6828456986846738,4.103147414777278,399.0200000000001,137.9,175.00000000000003,971779.9249999999,-795.8580000000001,-975.5730000000001,542.43,-1502.0,-1525.714,-1098.711,1657.077,3055553413.609999,119.43,31.508000000000006,231.3957508617065,1119.67138255,3283.9700000000003,3385.932497472915,1479.3000000000004,1343.6999999999998,68.2845698684674,5386.0,3653.4259999999995,241.0,186.145,1849.0,1714.857142857143,71173.0,49125.0,inf,0.2313957508617066,4560527483.0,19464.373,1.01,684.3972976649063,3108.3699999999994,1324.873,140861.0,6041.0,92362.0,888467.0
357,Asia,2020-03-28,81.0,50.0,63.0,3071.98,18.0,0.0,23868898736.0,5.0,0.0,147.0,0.0,81.0,128.0,59.0,120.0,57.0,3186.1299999999997,59.0,92.0,47723.0,273.62100000000004,177.62800000000001,12430.512999999999,0.666972590304094,4.3782685209027035,399.0200000000001,137.9,175.00000000000003,971779.9249999999,-869.5730000000002,-1044.0,569.857,-1581.1430000000005,-1609.1470000000002,-1159.0010000000002,1657.077,3055553413.609999,119.43,31.508000000000006,251.8492889324234,1119.67138255,3283.9700000000003,3385.932497472915,1479.3000000000004,1343.6999999999998,66.69725903040937,7041.0,4295.286,203.0,189.859,1483.0,1689.285714285714,49537.0,52431.0,inf,0.2518492889324234,4560527483.0,19464.373,0.9370000000000002,699.0075829347679,3186.1299999999997,1542.696,147902.0,6244.0,93845.0,959217.0
358,Asia,2020-03-29,81.0,50.0,63.0,3074.25,18.0,2600000.0,2600780.0,6.0,0.0,147.0,0.0,81.0,128.0,60.0,120.0,57.0,3188.9099999999994,59.0,92.0,53105.0,273.62100000000004,177.62800000000001,12430.512999999999,0.7040975301996191,4.9610508361174235,399.0200000000001,137.9,175.00000000000003,971779.9249999999,-909.0010000000001,-1087.001,588.8589999999999,-1635.288,-1667.5739999999996,-1198.711,1657.077,3055553413.609999,119.43,31.508000000000006,275.17364187807004,1119.67138255,3283.9700000000003,3385.932497472915,1479.3000000000004,1343.6999999999998,70.40975301996193,7375.0,4923.146000000001,224.0,197.002,1763.0,1616.0,40611.0,55807.0,inf,0.27517364187807014,4560527483.0,19464.373,0.9190000000000002,722.6253571498053,3188.9099999999994,1268.487,155277.0,6468.0,95608.0,573880.0
