,rmse,mae,mape
"((4, 1, 10), (5, 1, 0, 7))",30269.589752555756,23923.943120648782,4.07278395103312
"((0, 1, 6), (0, 0, 1, 7))",30269.685079802264,23924.131741786547,4.07280661097598
"((5, 1, 4), (1, 0, 2, 7))",30269.70651529811,23924.174146029633,4.0728117051967905
"((5, 1, 8), (5, 0, 0, 7))",30269.874933157087,23924.50719298721,4.072851715691468
"((1, 1, 5), (5, 0, 0, 7))",30270.039929082584,23924.833264247172,4.072890888162838
"((0, 1, 0), (5, 1, 0, 7))",30270.040737707564,23924.83486177454,4.0728910800813
"((3, 1, 2), (3, 0, 2, 7))",30270.131046614766,23925.013245766386,4.0729125101877575
"((3, 1, 5), (5, 0, 2, 7))",30270.194908088262,23925.13935181386,4.07292765989931
"((3, 1, 8), (5, 0, 0, 7))",30270.215881415166,23925.18076071736,4.072932634545304
"((0, 0, 8), (5, 0, 0, 7))",30270.32517864969,23925.39649902343,4.072958552200908
"((3, 1, 6), (3, 0, 2, 7))",30270.349303978513,23925.44410707814,4.07296427158004
"((2, 1, 10), (1, 0, 0, 7))",30270.3548287464,23925.455008837635,4.072965581259592
"((3, 1, 5), (1, 0, 2, 7))",30270.356311824522,23925.45793528533,4.072965932827494
"((4, 2, 3), (1, 1, 0, 7))",30270.3722074706,23925.48929993822,4.0729697008105035
"((4, 2, 7), (2, 1, 0, 7))",30270.380192949775,23925.505055846545,4.072971593641745
"((4, 0, 2), (5, 0, 1, 7))",30270.393241125385,23925.530799773016,4.072974686380501
"((4, 0, 0), (1, 0, 2, 7))",30270.401358237425,23925.546814109726,4.072976610257957
"((1, 2, 0), (4, 0, 1, 7))",30270.45545464464,23925.653528792565,4.072989430393834
"((1, 1, 0), (5, 0, 2, 7))",30270.50046765695,23925.74230806011,4.073000095864065
"((2, 2, 2), (4, 0, 2, 7))",30270.51375324941,23925.76850834561,4.073003243427372
"((0, 1, 12), (0, 1, 0, 7))",30270.60038861176,23925.93932782843,4.073023764773844
"((6, 0, 1), (0, 0, 1, 7))",30270.63662101216,23926.010750718215,4.073032345140925
"((6, 1, 3), (2, 1, 2, 7))",30270.63988426965,23926.017182908898,4.073033117870193
"((5, 2, 12), (1, 0, 0, 7))",30270.704219487572,23926.1439773807,4.073048350285393
"((4, 0, 10), (1, 0, 0, 7))",30270.76373682974,23926.26124887391,4.073062438660464
"((1, 0, 0), (5, 0, 2, 7))",30270.803514634117,23926.339611232375,4.073071852698498
"((10, 1, 11), (0, 1, 0, 7))",30270.882542992087,23926.495262012577,4.073090551757508
"((2, 1, 0), (2, 0, 0, 7))",30270.96120250557,23926.650139798287,4.07310915795306
"((3, 2, 4), (3, 0, 1, 7))",30270.97772967837,23926.682675315915,4.073113066597546
"((0, 0, 8), (4, 0, 0, 7))",30271.05084868646,23926.826593390007,4.073130356151487
"((4, 0, 1), (2, 0, 1, 7))",30271.071787667068,23926.86779961687,4.073135306448983
"((2, 2, 8), (4, 1, 0, 7))",30271.136446941204,23926.99502314323,4.073150590408522
"((6, 1, 8), (4, 0, 0, 7))",30271.156187487482,23927.03385838984,4.07315525586903
"((5, 2, 5), (5, 0, 2, 7))",30271.273448514272,23927.26448398869,4.073182962005011
"((5, 2, 1), (1, 0, 0, 7))",30271.300242347283,23927.317166904508,4.073189291051036
"((6, 0, 3), (5, 0, 1, 7))",30271.306039395855,23927.32856454664,4.073190660303297
"((6, 1, 5), (5, 1, 0, 7))",30271.3401125447,23927.39555107487,4.0731987077094365
"((1, 0, 0), (4, 0, 1, 7))",30271.343191183438,23927.401603135855,4.0731994347719365
"((2, 2, 1), (2, 0, 0, 7))",30271.343644730074,23927.402494722606,4.07319954188244
"((1, 2, 1), (1, 0, 2, 7))",30271.403820274216,23927.520774828037,4.073213751426833
"((5, 2, 1), (0, 0, 2, 7))",30271.412415907256,23927.53766806457,4.073215780890652
"((2, 2, 9), (4, 1, 0, 7))",30271.420627679458,23927.553806374075,4.073217719661542
"((4, 2, 4), (5, 0, 2, 7))",30271.51592330278,23927.741050773733,4.07324021421039
"((1, 0, 2), (4, 0, 2, 7))",30271.654307712342,23928.012839018265,4.073272865408257
"((3, 1, 11), (5, 0, 0, 7))",30271.759572243376,23928.219484135065,4.073297690656339
"((6, 0, 6), (3, 1, 0, 7))",30271.767418721374,23928.234884282032,4.073299540748298
"((2, 2, 2), (1, 0, 2, 7))",30271.826221261064,23928.350280460218,4.073313403832972
"((1, 2, 4), (0, 0, 2, 7))",30271.876382967337,23928.448699276483,4.073325227347448
"((6, 2, 1), (4, 0, 2, 7))",30271.958409870513,23928.609598379855,4.0733445569121605
"((2, 1, 12), (4, 1, 0, 7))",30272.137410992964,23928.960543275894,4.073386717570216
"((3, 1, 5), (3, 0, 0, 7))",30272.149023802038,23928.98330285307,4.073389451785079
"((2, 2, 6), (3, 0, 1, 7))",30272.172305664557,23929.028929235188,4.073394933096579
"((3, 1, 7), (4, 0, 0, 7))",30272.34426070521,23929.36579226361,4.073435402033762
"((6, 1, 3), (4, 0, 0, 7))",30272.432705653293,23929.53897251721,4.073456206990712
"((0, 0, 6), (2, 1, 1, 7))",30272.458938002448,23929.59032586338,4.073462376309292
"((3, 2, 9), (0, 1, 0, 7))",30272.46549473896,23929.603160763407,4.073463918226093
"((0, 0, 2), (2, 0, 0, 7))",30272.493838302988,23929.658640027566,4.073470583210572
"((3, 2, 12), (4, 0, 0, 7))",30272.6121037655,23929.89006722006,4.073498385645761
"((1, 2, 12), (5, 1, 0, 7))",30272.627877753075,23929.920926690822,4.073502092938871
"((1, 2, 3), (2, 0, 0, 7))",30272.65203824075,23929.968189559117,4.0735077708491385
"((7, 2, 5), (0, 1, 1, 7))",30272.89131062834,23930.436023870934,4.073563973981509
"((6, 0, 11), (3, 1, 0, 7))",30272.970871712565,23930.59149161359,4.073582651051359
"((3, 1, 3), (1, 0, 0, 7))",30272.999684812225,23930.647782919525,4.073589413590229
"((2, 1, 9), (3, 0, 0, 7))",30273.010227137693,23930.6683776315,4.073591887729671
"((0, 1, 1), (2, 0, 0, 7))",30273.02539187741,23930.698000924756,4.073595446514971
"((5, 0, 11), (1, 0, 0, 7))",30273.194033664724,23931.027317837306,4.073635008901825
"((1, 2, 0), (3, 1, 2, 7))",30273.216947040873,23931.07204611216,4.073640382319485
"((5, 2, 12), (2, 0, 0, 7))",30273.22490905894,23931.08758754755,4.0736422493850855
"((0, 0, 10), (2, 0, 0, 7))",30273.274623728314,23931.18461746384,4.073653906044486
"((2, 2, 5), (4, 0, 2, 7))",30273.30577163267,23931.245400758817,4.07366120822709
"((2, 1, 6), (3, 0, 2, 7))",30273.31248409985,23931.258498814423,4.073662781758006
"((1, 1, 0), (4, 0, 2, 7))",30273.37078186642,23931.372241579393,4.073676446210387
"((5, 2, 6), (2, 0, 2, 7))",30273.419212795292,23931.466714647406,4.0736877957035995
"((4, 1, 0), (0, 0, 2, 7))",30273.422327534696,23931.47278991069,4.073688525553502
"((5, 2, 11), (2, 0, 0, 7))",30273.51505617463,23931.6536236746,4.073710249962579
"((5, 1, 8), (2, 1, 0, 7))",30273.52752280368,23931.677930561847,4.0737131700630655
"((2, 1, 0), (5, 1, 2, 7))",30273.538914296812,23931.700140206864,4.073715838211997
"((2, 2, 0), (2, 1, 0, 7))",30273.678825569572,23931.97284391715,4.073748599389061
"((5, 2, 4), (3, 0, 1, 7))",30273.757633048743,23932.126386416076,4.073767045170342
"((4, 1, 11), (0, 0, 0, 0))",30273.838908525817,23932.284690137007,4.073786062939576
"((4, 1, 11), (0, 0, 0, 7))",30273.838908525817,23932.284690137007,4.073786062939576
"((5, 1, 12), (2, 1, 0, 7))",30273.86902527981,23932.343337654936,4.073793108541257
"((5, 0, 0), (0, 0, 1, 7))",30274.047697225804,23932.69113723915,4.073834891338235
"((1, 0, 0), (1, 1, 2, 7))",30274.12761098466,23932.846621110486,4.073853570345698
"((6, 2, 1), (3, 0, 1, 7))",30274.22753115634,23933.040965412216,4.073876917839115
"((5, 0, 5), (3, 0, 1, 7))",30274.41481911227,23933.405045475298,4.0739206564864565
"((4, 2, 0), (2, 0, 1, 7))",30274.430352111965,23933.435229625047,4.073924282650081
"((4, 1, 0), (2, 0, 0, 7))",30274.440908603927,23933.45574229649,4.073926746933609
"((6, 2, 12), (1, 1, 0, 7))",30274.462466959256,23933.49763056108,4.073931779167501
"((5, 2, 6), (1, 1, 2, 7))",30274.620396800437,23933.80438897604,4.073968631496127
"((5, 0, 4), (5, 0, 1, 7))",30274.626396682994,23933.81603943814,4.0739700311208376
"((3, 0, 3), (2, 0, 0, 7))",30274.674530860826,23933.909496136406,4.073981258512783
"((2, 2, 7), (4, 1, 0, 7))",30274.758015979478,23934.071550284767,4.074000726838471
"((3, 2, 0), (1, 1, 0, 7))",30274.871791156347,23934.29232033101,4.074027248980647
"((6, 1, 11), (3, 0, 0, 7))",30274.979855256097,23934.501922611977,4.0740524294867475
"((1, 2, 12), (1, 1, 0, 7))",30274.983255589534,23934.50851657714,4.074053221650741
"((3, 2, 7), (4, 0, 0, 7))",30274.989531195195,23934.520686085383,4.0740546836309015
"((1, 0, 3), (4, 0, 2, 7))",30275.04683630922,23934.631797782782,4.074068032000781
"((2, 1, 11), (1, 0, 0, 7))",30275.058770815045,23934.654935224182,4.074070811610248
"((2, 1, 10), (5, 0, 0, 7))",30275.0689375272,23934.674644637806,4.0740731793946425
"((3, 2, 2), (0, 1, 0, 7))",30275.07149992934,23934.67961205071,4.074073776153277
"((2, 1, 6), (4, 0, 2, 7))",30275.10476491142,23934.74409450451,4.074081522733198
"((5, 0, 6), (2, 0, 0, 7))",30275.167110541326,23934.86492698084,4.07409603890589
"((2, 2, 4), (4, 0, 2, 7))",30275.16851592039,23934.86765043502,4.074096366087228
"((6, 0, 6), (4, 1, 0, 7))",30275.318967368985,23935.159125493225,4.074131382354452
"((5, 1, 5), (3, 0, 2, 7))",30275.37444732168,23935.266568046707,4.074144289932846
"((3, 1, 2), (2, 0, 2, 7))",30275.440900261845,23935.39523201422,4.074159746939343
"((6, 1, 6), (5, 0, 0, 7))",30275.635700940908,23935.772217362926,4.074205035959237
"((5, 0, 6), (0, 1, 2, 7))",30275.652819418036,23935.80533275622,4.074209014266912
"((2, 1, 5), (5, 0, 1, 7))",30275.67632334931,23935.85079730478,4.074214476136587
"((5, 1, 11), (4, 0, 0, 7))",30275.729159450115,23935.95298585356,4.074226752526729
"((6, 1, 4), (1, 1, 0, 7))",30275.73707788904,23935.968298934666,4.074228592159057
"((3, 0, 2), (5, 0, 0, 7))",30275.800531360004,23936.09099241479,4.074243331902873
"((6, 2, 8), (4, 1, 0, 7))",30275.814976027956,23936.118918596683,4.074246686806217
"((2, 2, 12), (4, 0, 0, 7))",30275.95176132478,23936.383295141914,4.07427844760185
"((1, 0, 3), (1, 0, 2, 7))",30276.046074413563,23936.565504822865,4.0743003373063
"((6, 0, 3), (3, 1, 2, 7))",30276.14484127739,23936.75625156044,4.074323252607445
"((2, 2, 2), (2, 0, 0, 7))",30276.173172306277,23936.810954054723,4.074329824274913
"((6, 1, 10), (0, 0, 0, 0))",30276.20187145339,23936.866361539942,4.074336480636251
"((6, 1, 10), (0, 0, 0, 7))",30276.20187145339,23936.866361539942,4.074336480636251
"((4, 1, 6), (2, 0, 2, 7))",30276.229577215152,23936.91984564298,4.0743429059326575
"((4, 1, 5), (2, 1, 2, 7))",30276.24689161716,23936.95326717432,4.074346921018133
"((1, 2, 1), (4, 0, 2, 7))",30276.341925144,23937.136670183336,4.074368954082686
"((4, 2, 5), (0, 0, 0, 0))",30276.400852272513,23937.25036028226,4.074382612208048
"((4, 2, 5), (0, 0, 0, 7))",30276.400852272513,23937.25036028226,4.074382612208048
"((6, 0, 10), (3, 1, 0, 7))",30276.420051848356,23937.287397383978,4.074387061648966
"((4, 2, 2), (1, 0, 0, 7))",30276.434277464934,23937.314837752336,4.074390358189251
"((6, 0, 1), (3, 0, 1, 7))",30276.473511353874,23937.390510200763,4.074399449075764
"((5, 2, 4), (4, 1, 1, 7))",30276.52268991389,23937.48534814121,4.074410842402816
"((6, 1, 4), (3, 1, 0, 7))",30276.565196836294,23937.567306503865,4.074420688445716
"((2, 1, 6), (5, 0, 2, 7))",30276.65665613254,23937.743607716202,4.074441868338093
"((4, 2, 8), (2, 1, 0, 7))",30276.670434026593,23937.770161530352,4.074445058372458
"((6, 1, 11), (1, 1, 0, 7))",30276.704002988194,23937.83485262228,4.074452830017058
"((5, 0, 5), (1, 1, 2, 7))",30276.839539594715,23938.095966120778,4.074484198807564
"((0, 2, 1), (5, 1, 0, 7))",30276.841533990344,23938.09980739404,4.074484660277757
"((3, 2, 11), (2, 1, 0, 7))",30276.845765922182,23938.107958145076,4.074485639465746
"((1, 0, 0), (2, 1, 2, 7))",30276.915093711345,23938.241466407035,4.07450167844008
"((10, 0, 4), (0, 1, 0, 7))",30276.943530795852,23938.296219488046,4.074508256184769
"((2, 1, 9), (4, 0, 0, 7))",30276.97567696995,23938.358107267755,4.074515691054308
"((3, 1, 6), (4, 0, 0, 7))",30277.009926669958,23938.424036788016,4.074523611477118
"((2, 0, 2), (4, 1, 2, 7))",30277.11383863195,23938.624013563447,4.074547635626046
"((2, 0, 6), (5, 0, 2, 7))",30277.12076818765,23938.637346686424,4.074549237396708
"((10, 0, 3), (0, 1, 2, 7))",30277.179974506205,23938.75125157266,4.0745629213254775
"((9, 2, 10), (0, 0, 0, 7))",30277.18675194976,23938.764288886992,4.074564487559259
"((9, 2, 10), (0, 0, 0, 0))",30277.18675194976,23938.764288886992,4.074564487559259
"((2, 0, 2), (2, 1, 1, 7))",30277.304286632505,23938.990331447123,4.074591643113282
"((2, 1, 6), (4, 1, 0, 7))",30277.32514891571,23939.03044368463,4.074596461984702
"((6, 0, 1), (5, 0, 0, 7))",30277.340282728168,23939.0595398012,4.074599957437792
"((3, 1, 12), (3, 1, 0, 7))",30277.367502310593,23939.111867876538,4.074606243855163
"((4, 1, 10), (3, 0, 0, 7))",30277.370979453866,23939.118552111377,4.074607046863677
"((0, 0, 9), (3, 0, 0, 7))",30277.400024066974,23939.1743822991,4.074613754006252
"((2, 1, 5), (4, 0, 1, 7))",30277.44768148193,23939.265977676376,4.074624757788967
"((4, 1, 5), (2, 0, 2, 7))",30277.45634695078,23939.28263061122,4.074626758384215
"((2, 2, 5), (0, 1, 0, 7))",30277.530211259258,23939.424558708422,4.074643808872888
"((0, 0, 5), (3, 0, 0, 7))",30277.541702703034,23939.446635764223,4.074646461093253
"((4, 1, 5), (2, 0, 0, 7))",30277.564134270728,23939.489728046054,4.074651637971387
"((8, 0, 7), (0, 1, 0, 7))",30277.567964631664,23939.49708603109,4.074652521920677
"((1, 0, 0), (4, 1, 0, 7))",30277.611228701637,23939.580187657833,4.074662505309261
"((4, 1, 6), (3, 0, 2, 7))",30277.612139575598,23939.58193712458,4.074662715480915
"((6, 1, 6), (3, 1, 0, 7))",30277.637147015583,23939.629965318578,4.074668485333353
"((1, 1, 0), (4, 0, 1, 7))",30277.653370130178,23939.661120395915,4.074672228139067
"((2, 2, 8), (5, 1, 0, 7))",30277.699068149217,23939.74886962083,4.074682769865441
"((6, 2, 1), (3, 0, 2, 7))",30277.699608574512,23939.74990725731,4.074682894521583
"((4, 2, 0), (2, 0, 2, 7))",30277.72953467972,23939.80736331446,4.074689796987487
"((2, 0, 6), (4, 0, 2, 7))",30277.785512017417,23939.914819237692,4.074702706172051
"((0, 0, 9), (4, 0, 0, 7))",30277.78587744699,23939.915520656723,4.074702790436813
"((6, 0, 6), (5, 0, 1, 7))",30277.79683659838,23939.93655562622,4.074705317466458
"((1, 1, 0), (5, 0, 1, 7))",30277.79756588362,23939.937955385012,4.074705485626054
"((0, 0, 9), (5, 0, 0, 7))",30277.808346989943,23939.958647747044,4.0747079714966565
"((6, 1, 2), (3, 0, 0, 7))",30277.815608983194,23939.972585360287,4.074709645887572
"((2, 0, 1), (4, 0, 2, 7))",30277.823005943053,23939.986781632488,4.074711351352404
"((2, 1, 5), (0, 1, 0, 7))",30277.82604242446,23939.99260914868,4.074712051439285
"((2, 1, 6), (2, 0, 1, 7))",30277.830437876924,23940.001044644494,4.0747130648350005
"((1, 2, 1), (5, 0, 2, 7))",30277.882247756337,23940.1004650381,4.074725008673666
"((4, 2, 9), (1, 1, 0, 7))",30277.978156751713,23940.284460156177,4.074747112871061
"((0, 1, 8), (0, 1, 0, 7))",30277.97869374504,23940.285490163176,4.074747236610638
"((0, 0, 8), (2, 0, 0, 7))",30277.996956377534,23940.32051853248,4.074751444733101
"((1, 0, 5), (5, 0, 2, 7))",30278.008027359578,23940.34175193926,4.07475399560195
"((10, 2, 11), (0, 0, 0, 7))",30278.02678927486,23940.377734105747,4.074758318308545
"((10, 2, 11), (0, 0, 0, 0))",30278.02678927486,23940.377734105747,4.074758318308545
"((3, 1, 6), (2, 0, 1, 7))",30278.045191414036,23940.413023914745,4.074762557838986
"((3, 1, 1), (0, 1, 0, 7))",30278.04635388173,23940.415253101986,4.0747628256417165
"((3, 0, 1), (4, 0, 2, 7))",30278.09013109099,23940.49919494501,4.074772909969427
"((3, 1, 2), (3, 0, 1, 7))",30278.20383814899,23940.717163800884,4.074799095591451
"((2, 2, 2), (5, 0, 2, 7))",30278.26367860508,23940.831838072394,4.074812871950086
"((4, 1, 10), (4, 0, 0, 7))",30278.368526506674,23941.032701995773,4.0748370026762615
"((3, 0, 1), (1, 0, 2, 7))",30278.379379819944,23941.05349005837,4.074839500043822
"((2, 2, 1), (5, 1, 2, 7))",30278.503727794374,23941.291603922993,4.074868105780329
"((2, 2, 9), (5, 1, 0, 7))",30278.54499529281,23941.370603482814,4.074877596368354
"((5, 0, 8), (5, 0, 0, 7))",30278.582696648104,23941.442766021377,4.074886265592916
"((0, 1, 9), (1, 0, 0, 7))",30278.586259877684,23941.449585739367,4.074887084877657
"((1, 0, 4), (4, 0, 1, 7))",30278.679567690597,23941.62813785112,4.074908535181147
"((6, 0, 1), (3, 0, 2, 7))",30278.680976912783,23941.63083405369,4.074908859088621
"((5, 0, 3), (5, 0, 1, 7))",30278.701936190257,23941.670932901874,4.074913676351518
"((6, 1, 9), (3, 0, 0, 7))",30278.737345246725,23941.73866990286,4.074921813915474
"((4, 1, 6), (1, 0, 0, 7))",30278.758389852053,23941.77892383927,4.074926649809848
"((3, 2, 5), (2, 0, 1, 7))",30278.77215680412,23941.8052554981,4.07492981315565
"((2, 1, 1), (0, 1, 0, 7))",30278.775997936013,23941.81260208985,4.07493069573621
"((6, 0, 5), (3, 0, 2, 7))",30278.833111801632,23941.92182675288,4.074943817407791
"((4, 2, 2), (0, 1, 0, 7))",30279.092239680605,23942.417102334377,4.075003317188726
"((4, 2, 6), (0, 1, 1, 7))",30279.2038327279,23942.63025038071,4.0750289236642665
"((3, 2, 3), (3, 0, 1, 7))",30279.221934024434,23942.664816692984,4.0750330762776485
"((3, 1, 6), (3, 0, 0, 7))",30279.227823589288,23942.676062947947,4.075034427343059
"((5, 0, 0), (4, 0, 1, 7))",30279.24805876559,23942.714700660195,4.075039069072836
"((1, 0, 5), (4, 0, 1, 7))",30279.272785428937,23942.761910767145,4.075044740644637
"((4, 1, 11), (3, 1, 0, 7))",30279.4027345112,23943.009951228763,4.075074538909846
"((1, 0, 2), (1, 0, 2, 7))",30279.424185840653,23943.050885396024,4.075079456523546
"((2, 1, 7), (4, 0, 0, 7))",30279.486923893975,23943.170586304583,4.0750938367556895
"((4, 2, 4), (4, 0, 1, 7))",30279.49629588483,23943.188465266976,4.0750959846393835
"((4, 2, 1), (2, 0, 0, 7))",30279.503237096647,23943.201706642332,4.075097575387973
"((5, 0, 0), (5, 0, 2, 7))",30279.52905299988,23943.250951367034,4.0751034913879565
"((1, 0, 6), (5, 0, 2, 7))",30279.55893076203,23943.307938559297,4.07511033752692
"((7, 1, 12), (0, 1, 0, 7))",30279.58478342835,23943.357243599796,4.075116260772923
"((1, 2, 1), (4, 0, 1, 7))",30279.627006227514,23943.437759235352,4.075125933494244
"((1, 0, 4), (5, 0, 2, 7))",30279.632508809882,23943.448251343612,4.07512719396047
"((6, 0, 3), (3, 0, 2, 7))",30279.695051821443,23943.56749142736,4.075141518831565
"((1, 2, 12), (5, 0, 0, 7))",30279.745022316503,23943.662742521272,4.075152961792684
"((5, 1, 5), (4, 0, 2, 7))",30279.768803515923,23943.708067014682,4.075158406836876
"((1, 0, 9), (1, 0, 0, 7))",30279.986260941427,23944.122340144288,4.075208175412956
"((2, 2, 10), (2, 0, 0, 7))",30280.019533436967,23944.18569851191,4.0752157869511265
"((9, 0, 0), (0, 1, 1, 7))",30280.06541952236,23944.27306370427,4.075226282541867
"((3, 1, 7), (3, 0, 0, 7))",30280.139596847057,23944.414264076444,4.075243245605515
"((2, 0, 2), (4, 1, 0, 7))",30280.166049440257,23944.46460894537,4.075249293770989
"((10, 0, 4), (0, 1, 2, 7))",30280.63916947149,23945.364257891608,4.075357372822771
"((2, 2, 11), (4, 0, 0, 7))",30280.72509497021,23945.527485350223,4.07537698210373
"((3, 0, 6), (3, 1, 1, 7))",30280.78637345925,23945.643862042227,4.075390962982131
"((6, 0, 2), (3, 0, 2, 7))",30280.85753325534,23945.778973091394,4.075407194506817
"((6, 0, 3), (2, 1, 1, 7))",30281.174663172053,23946.38069426943,4.075479482097027
"((4, 2, 8), (5, 0, 0, 7))",30281.18899462081,23946.407870794283,4.075482746940551
"((1, 2, 1), (3, 1, 0, 7))",30281.2047396067,23946.43772620513,4.075486333611229
"((5, 2, 4), (2, 1, 1, 7))",30281.257042162197,23946.536889636423,4.075498246579804
"((0, 2, 2), (2, 0, 0, 7))",30281.34523016671,23946.704048937434,4.075518328211451
"((3, 1, 6), (1, 1, 1, 7))",30281.38070178501,23946.771270306865,4.075526403830167
"((6, 1, 5), (4, 0, 0, 7))",30281.541557311906,23947.07599814902,4.075563012216548
"((3, 1, 10), (5, 0, 0, 7))",30281.608677797474,23947.20310147599,4.07557828173597
"((1, 2, 1), (5, 0, 1, 7))",30281.691891813425,23947.36063879396,4.075597207433619
"((6, 0, 3), (5, 1, 2, 7))",30281.761058810636,23947.49154779849,4.075612934146953
"((5, 1, 9), (3, 0, 0, 7))",30281.773338227285,23947.514785125004,4.075615725756087
"((4, 2, 6), (2, 1, 0, 7))",30281.81588494908,23947.595291948102,4.075625397418727
"((6, 0, 3), (2, 1, 2, 7))",30281.81643472676,23947.59633215758,4.075625522383975
"((5, 1, 8), (0, 1, 0, 7))",30281.85397638483,23947.667358277784,4.075634055085264
"((5, 1, 12), (1, 1, 0, 7))",30281.89185460993,23947.739011666854,4.075642663143307
"((6, 1, 3), (4, 0, 1, 7))",30282.00829621941,23947.959221985213,4.075669118042743
"((2, 2, 7), (5, 1, 0, 7))",30282.01308598801,23947.968278301934,4.0756702060205905
"((4, 2, 11), (3, 1, 0, 7))",30282.08160443986,23948.09781379092,4.075685767727054
"((10, 2, 5), (0, 1, 1, 7))",30282.129231723,23948.18783577572,4.0756965824907425
"((1, 2, 4), (0, 1, 0, 7))",30282.145979680023,23948.219488099778,4.075700385033041
"((1, 1, 0), (3, 1, 0, 7))",30282.15332631513,23948.233372077073,4.075702052980419
"((2, 0, 3), (4, 0, 0, 7))",30282.1876385024,23948.298211945305,4.075709842498214
"((6, 0, 3), (4, 1, 2, 7))",30282.416852542698,23948.731158724164,4.075761854427452
"((1, 1, 7), (5, 0, 0, 7))",30282.445442985292,23948.785136901508,4.075768339079326
"((1, 0, 7), (4, 1, 0, 7))",30282.461452233714,23948.815359681146,4.075771969883739
"((6, 0, 6), (3, 0, 2, 7))",30282.505909841828,23948.899279325604,4.075782051544633
"((5, 2, 10), (1, 1, 0, 7))",30282.54513405756,23948.9733094155,4.075790945126904
"((2, 2, 4), (1, 0, 2, 7))",30282.554372142553,23948.990743501152,4.075793039565467
"((6, 1, 9), (4, 0, 0, 7))",30282.665896630206,23949.20116777112,4.075818318820965
"((3, 0, 1), (4, 1, 0, 7))",30282.691094286693,23949.248699327465,4.075824029009991
"((3, 0, 6), (5, 1, 1, 7))",30282.70777934531,23949.28017085794,4.075827809832706
"((2, 0, 1), (1, 0, 2, 7))",30282.746768940404,23949.353706289425,4.07583664398934
"((5, 2, 3), (2, 0, 1, 7))",30282.85148274535,23949.551149844883,4.0758603638106585
"((0, 0, 8), (0, 0, 0, 7))",30282.89738804067,23949.637684031608,4.07587075956879
"((0, 0, 8), (0, 0, 0, 0))",30282.89738804067,23949.637684031608,4.07587075956879
"((2, 0, 2), (1, 1, 1, 7))",30283.040948207836,23949.90821405813,4.07590325961102
"((4, 2, 0), (4, 1, 2, 7))",30283.041427565084,23949.909117149793,4.075903368103662
"((4, 1, 11), (5, 1, 0, 7))",30283.2274544497,23950.259471288566,4.0759454577912715
"((3, 0, 7), (4, 0, 0, 7))",30283.27389398094,23950.346897912226,4.075955960762042
"((3, 0, 6), (4, 1, 1, 7))",30283.40556083246,23950.59469595425,4.0759857299042475
"((6, 1, 6), (2, 0, 2, 7))",30283.56805825835,23950.9003611588,4.076022450900374
"((5, 0, 0), (5, 0, 1, 7))",30283.718853243394,23951.183859373887,4.076056508871982
"((1, 1, 11), (0, 1, 0, 7))",30283.725227337898,23951.195839560274,4.07605794810802
"((0, 1, 9), (0, 1, 0, 7))",30283.779022490337,23951.296937646577,4.076070093495786
"((6, 0, 5), (3, 1, 0, 7))",30283.813764184324,23951.36221825028,4.076077935961201
"((3, 2, 4), (1, 0, 2, 7))",30283.839087492608,23951.409796496428,4.0760836517592915
"((5, 0, 2), (5, 0, 1, 7))",30283.872077178214,23951.47177231998,4.076091097205953
"((1, 0, 1), (5, 1, 2, 7))",30283.996026025754,23951.704564637217,4.076119063639987
"((5, 2, 6), (4, 1, 1, 7))",30284.004832521787,23951.72110060156,4.076121050183021
"((5, 0, 3), (1, 1, 1, 7))",30284.14314700943,23951.980747757985,4.07615224281497
"((3, 2, 4), (2, 0, 2, 7))",30284.204934402813,23952.09669637272,4.076166172266439
"((5, 2, 4), (3, 0, 2, 7))",30284.368464493687,23952.403453303836,4.076203024416804
"((4, 0, 0), (4, 0, 1, 7))",30284.425329845315,23952.510083262652,4.076215834374388
"((3, 1, 2), (0, 1, 0, 7))",30284.477364711525,23952.607637106175,4.076227553975627
"((5, 1, 10), (0, 1, 0, 7))",30284.513458402984,23952.675294498455,4.076235681975814
"((6, 2, 5), (5, 0, 0, 7))",30284.533713424295,23952.713258717922,4.076240242795741
"((6, 1, 10), (4, 0, 0, 7))",30284.577385158613,23952.7951041351,4.076250075269973
"((4, 0, 2), (2, 0, 0, 7))",30284.69139077849,23953.008704618216,4.076275736098868
"((4, 0, 0), (5, 0, 2, 7))",30284.74489158374,23953.108914612163,4.0762877747959285
"((3, 1, 2), (5, 0, 2, 7))",30284.939516620805,23953.473302603434,4.07633155043613
"((3, 0, 6), (0, 0, 0, 7))",30284.989678623755,23953.567179225447,4.076342828275484
"((3, 0, 6), (0, 0, 0, 0))",30284.989678623755,23953.567179225447,4.076342828275484
"((2, 1, 9), (2, 0, 0, 7))",30285.019259908076,23953.62253209144,4.076349478075159
"((5, 1, 3), (1, 0, 2, 7))",30285.046820283722,23953.67409834688,4.07635567297153
"((5, 2, 3), (4, 1, 0, 7))",30285.050491759248,23953.680967414737,4.076356498184901
"((5, 1, 1), (0, 0, 1, 7))",30285.09376102454,23953.76191458795,4.076366222748869
"((6, 1, 6), (5, 0, 2, 7))",30285.16198426098,23953.88952066806,4.076381552666385
"((6, 1, 4), (3, 0, 0, 7))",30285.242513040073,23954.040104838405,4.076399643049765
"((4, 1, 5), (5, 0, 1, 7))",30285.2465188427,23954.04759437215,4.076400542802617
